name,latitude,longitude
Mississippi, 32.9715645, -89.7348497
Third Avenue, -33.7700005,150.7368302
Charles Street, 42.3003827, -71.0624745
Paris, 48.8565056, 2.3521334
Tarrant, 32.7513658, -97.335696
Mount Desert, 38.2892692, -81.375671
Pine Street, 42.3329495,-83.0780303
Texas, 31.8160381, -99.5120986
Connecticut,41.6500201, -72.7342163
New Jerusalem, 40.4481498, -75.7471373
Olive, 38.2195745, -77.4410949
China, 35.000074, 104.999927
Memorial Hall, 53.47885375, -2.24605509700174
Charlestown,43.2386868, -72.4245329
Saratoga, 43.0833231, -73.8712155
StateStreet, 43.0748694, -89.3953577
Rome, 41.8933439, 12.4830718
Topeka, 39.0490111, -95.6775557
Cape, 31.8228644, -110.4020202
Provincetown, 42.058436, -70.1786375
Alexandria, 31.1990035,29.8943785
England, 52.7954791, -0.540240236617432
DoctorPrance, 50.4127521, -4.1199268
Mirandola, 44.8871682, 11.0660968
Newton, 42.3370414, -71.2092214
Washington, 38.8949549,-77.0366456
West,0.5090396, 34.5731341
France, 46.603354, 1.8883335
CentralPark, 40.7874455, -73.9619003691178
Verena, 46.5488645, 11.8738889
Carolina, 18.36402775, -65.9526467497241
Bohemia, 40.7692649,-73.1151118
Languedoc, -33.8988889, 18.9658333
Music Hall,43.67629945, -79.3570363634889
New York, 40.7305991, -73.9865812
Padua, 45.4077172, 11.8734455
Massachusetts, 42.3788774,-72.032366
Divinity Avenue, 42.3766871, -71.1137951
America,51.44770365, 5.96606928205559
New England Corinna, 50.8629077,-1.419971
Rhode Island, 41.7962409, -71.5992372
United States,39.7837304, -100.4458825
Billerica, 42.5584264, -71.268947
Panama Canal, 8.943699, -79.5655236
Square, 52.9579129,0.5422821
Boston, 42.3604823, -71.0595678
Framingham,42.2792625, -71.416172
Maine, 45.709097, -68.8590201
Talmud,-33.5461121, -70.7707115
Greenstreet, 38.4064391, -91.2032047
Providence, 41.8239891, -71.4128343
Basil, 37.5164057,-98.0903402
Europe, 51.0000003, 9.9999997
Minerva, 40.7297817,-81.1053764
South End, 53.6694265, -0.3179565
New England,52.5934191, -0.2491985
Fifth Avenue, -33.7659188, 150.7425907
Tenth Street, 42.2500355, -83.0395948
Newfoundland, 49.1244794,-55.9711635806247
Delmonico, -33.3817284, -70.57982
Georgia,32.3293809, -83.1137366
Roxbury, 43.2494702, -89.6749947
Pennsylvania, 40.9699889, -77.727883
Doctor Tarrant, 32.7513658,-97.335696
St, 51.908526, 11.4939134
Cambridge, 52.2033051,0.124862
Charleston, 32.7876012, -79.9402728
Tremont Temple,42.3573197, -71.0608844
Astor Library, 40.73, -73.9922222
Concord, 43.207106, -71.5370216
Hypatia, -36.8655821,174.76934987072
New Orleans, 29.9499323, -90.0701156
Back Bay,42.3507067, -71.0797297
Florence, 43.7698712, 11.2555757
Italy,42.6384261, 12.674297
Miss Tarrant, 0.0, 0.0
Electra,38.3321363, -120.6713205
Washington Square, 42.6622728, -73.7695467
Cayuga, 42.8093409, -76.5700777
Atlantic, 39.5143268,-74.6632883
Oxford, 51.752225, -1.2583028
Monadnoc Place, 0.0,0.0
Boylston Street, 42.3500548, -71.0774774
Cremona,45.1346168, 10.0251103
Alabama, 33.2588817, -86.8295337
WestTenth Street, 43.007055, -83.6839849
South, 36.5748441,139.2394179
St. Louis, 38.6272733, -90.1978889
Beacon Street,42.369791, -70.9692379
States, 39.7837304, -100.4458825
Newport, 51.5882332, -2.9974966
Gracie, 42.5656265, -76.2490975
